tx,block,log_index,timestamp,timestamp_utc,main_account_transaction,direction,a0in,a1in,a0out,a1out,net_MOO_to_pool,net_mCELO_to_pool,pre0,pre1,post0,post1,pre_mCELO_per_MOO,post_mCELO_per_MOO
0xe631ca57d6cdf751c3dbeeea87faf76e3c18cdb1622ebf317fe0b2e28adf9a66,15671502,27,1666025504,2022-10-17T16:51:44+00:00,False,complex,45194802061385,118108712410873,0,1000000000000,0.000045194802061385,0.000117108712410873,5387475535495515108377777,119564338128689874541884,5387475535540709910439162,119564338245798586952757,0.0221930173679559733045862283672567126429093760658955189023229,0.0221930173895070137905882662585699482928548059463660708023032
0xb2e616a777e2b9557054ed8bfe7626aaf54ad696d7004a0df23793c00a57da40,15671823,33,1666027109,2022-10-17T17:18:29+00:00,False,complex,4519480201716,53777170140403,0,100000000000,0.000004519480201716,0.000053677170140403,5387475535540709910439162,119564338245798586952757,5387475535545229390640878,119564338299475757093160,0.0221930173895070137905882662585699482928548059463660708023032,0.0221930173994517214526848955747465645210421249208408946005524
0x03c1145020caccd1ac6b44d3f596430fe74edd7e66c39c6b392e8c1004aeb347,15677080,51,1666053394,2022-10-18T00:36:34+00:00,False,sell_MOO,5952928711983540353,107745085183317,0,131716965326701095,5.952928711983540353,-0.131609220241517778,5387475561336749221490709,119564339144513153805356,5387481514265461205031062,119564207535292912287578,0.0221930174500590504778939256050703254839142951804727376877145,0.0221929684990472786105980335212603596661943805023404582758943
0x2bbfb6d84e839516f2b413eda66a9204aa51c8395496e69a51118e4ab5d2a487,15677129,35,1666053639,2022-10-18T00:40:39+00:00,False,buy_MOO,0,5694625112055083861302,244228851138786814844443,0,-244228.851138786814844443,5694.625112055083861302,5387481514265461205031062,119564207535292912287578,5143252663126674390186619,125258832647347996148880,0.0221929684990472786105980335212603596661943805023404582758943,0.0243540111387802078583742504778360354525501496715224765433290
0x7e582cb146d4abf7b7adf626266e636b83638bf778e78e5149aa6c11949a9af1,15677129,46,1666053639,2022-10-18T00:40:39+00:00,False,sell_MOO,11915497501071373994038,0,0,288652865519850555383,11915.497501071373994038,-288.652865519850555383,5143252663126674390186619,125258832647347996148880,5155168160627745764180657,124970179781828145593497,0.0243540111387802078583742504778360354525501496715224765433290,0.0242417271149910469808298148055845683560541760906177803206918
0x6480b91734ed1eef97d6213f133a09ba42b93a5a87b02ff4d08204880e8db042,15677129,60,1666053639,2022-10-18T00:40:39+00:00,False,sell_MOO,6889186425373759986108,0,0,166283211613146780891,6889.186425373759986108,-166.283211613146780891,5155168160627745764180657,124970179781828145593497,5162057347053119524166765,124803896570214998812606,0.0242417271149910469808298148055845683560541760906177803206918,0.0241771619684663529316537559780393614838675204762376092051937
0x078c71fcffa9a312e51dd7988340da0099375076c098772fbdaf77d09ab01d0b,15677130,48,1666053644,2022-10-18T00:40:44+00:00,False,sell_MOO,60137122761803156842,174703061872,0,1449566285909448230,60.137122761803156842,-1.449566111206386358,5162057347053119524166765,124803896570214998812606,5162117484175881327323607,124802447004103792426248,0.0241771619684663529316537559780393614838675204762376092051937,0.0241765995033389247859724790685164828307374108272875128418418
0x975e11ff22ac03012cbb9709de5930d5b69450060eaf8aa5992f7cdafaf11a68,15677131,22,1666053649,2022-10-18T00:40:49+00:00,False,sell_MOO,2928791046247432168578,174701088483,0,70555872876847830989,2928.791046247432168578,-70.555872702146742506,5162117484175881327323607,124802447004103792426248,5165046275222128759492185,124731891131401645683742,0.0241765995033389247859724790685164828307374108272875128418418,0.0241492301297992547321985791493758893925144359691305829255010
0x7ed39465a45609bd3c2ef848a1b3308ec18c191b9eda631ddbefa0ddc6e567d7,15677132,17,1666053654,2022-10-18T00:40:54+00:00,False,sell_MOO,1335140010949499013422,174605031129,0,32137593076357692711,1335.140010949499013422,-32.137592901752661582,5165046275222128759492185,124731891131401645683742,5166381415233078258505607,124699753538499893022160,0.0241492301297992547321985791493758893925144359691305829255010,0.0241367687586562241831577712898640520113481057092683300356720
0xac47d59694c43e5782342970f88866d0dac13c490cb51d624599859100a54e18,15677133,35,1666053659,2022-10-18T00:40:59+00:00,False,sell_MOO,75466899528299017168,174561276877,0,1816036073731459405,75.466899528299017168,-1.816035899170182528,5166381415233078258505607,124699753538499893022160,5166456882132606557522775,124697937502600722839632,0.0241367687586562241831577712898640520113481057092683300356720,0.0241360646856164205551818225416267367869295443345463524958980
