tx,block,log_index,timestamp,timestamp_utc,MOO_raw,mCELO_raw,mCELO_per_MOO
0xbe288dafe5285173b88f0547a321b427a99d6d4c110b320dfc7aa29f98c17e83,15670677,140,1666021379,2022-10-17T15:42:59+00:00,5387474472924814926274725,119564314526936270054821,0.0221930173642244288182888104680072459178229698799065525102761
0x6c659c6ba279660b884b3f9530898d808d2db9a58b391c11b376f51c2a03a1e3,15670797,12,1666021979,2022-10-17T15:52:59+00:00,5387475535495515108377777,119564338128689874541884,0.0221930173679559733045862283672567126429093760658955189023229
0xe631ca57d6cdf751c3dbeeea87faf76e3c18cdb1622ebf317fe0b2e28adf9a66,15671502,26,1666025504,2022-10-17T16:51:44+00:00,5387475535540709910439162,119564338245798586952757,0.0221930173895070137905882662585699482928548059463660708023032
0xb2e616a777e2b9557054ed8bfe7626aaf54ad696d7004a0df23793c00a57da40,15671823,32,1666027109,2022-10-17T17:18:29+00:00,5387475535545229390640878,119564338299475757093160,0.0221930173994517214526848955747465645210421249208408946005524
0xa63a919ae0306a003ba14a67cdfb664c10ef297d8a0b1b2215571e47ba34a588,15673558,91,1666035784,2022-10-17T19:43:04+00:00,5387475548326989311156498,119564338623529868583818,0.0221930174069484220533182020897954823869204915215959360977843
0x64b71735834edf37fe08095e97ca22c26515430fa42c98c3a6b459d735da35da,15676437,111,1666050179,2022-10-17T23:42:59+00:00,5387475561336749221490709,119564339144513153805356,0.0221930174500590504778939256050703254839142951804727376877145
0x03c1145020caccd1ac6b44d3f596430fe74edd7e66c39c6b392e8c1004aeb347,15677080,50,1666053394,2022-10-18T00:36:34+00:00,5387481514265461205031062,119564207535292912287578,0.0221929684990472786105980335212603596661943805023404582758943
0x2bbfb6d84e839516f2b413eda66a9204aa51c8395496e69a51118e4ab5d2a487,15677129,34,1666053639,2022-10-18T00:40:39+00:00,5143252663126674390186619,125258832647347996148880,0.0243540111387802078583742504778360354525501496715224765433290
0x7e582cb146d4abf7b7adf626266e636b83638bf778e78e5149aa6c11949a9af1,15677129,45,1666053639,2022-10-18T00:40:39+00:00,5155168160627745764180657,124970179781828145593497,0.0242417271149910469808298148055845683560541760906177803206918
0x6480b91734ed1eef97d6213f133a09ba42b93a5a87b02ff4d08204880e8db042,15677129,59,1666053639,2022-10-18T00:40:39+00:00,5162057347053119524166765,124803896570214998812606,0.0241771619684663529316537559780393614838675204762376092051937
0x078c71fcffa9a312e51dd7988340da0099375076c098772fbdaf77d09ab01d0b,15677130,47,1666053644,2022-10-18T00:40:44+00:00,5162117484175881327323607,124802447004103792426248,0.0241765995033389247859724790685164828307374108272875128418418
