tx,block,timestamp,timestamp_utc,asset,asset_address,amount_raw,amount,beneficiary
0x7e91ae2a646b987722a64ce9c6a13b7c0dde19385e8b6baea9b9fb0ca781c038,15688251,1666109249,2022-10-18T16:07:29.000000Z,MOO,0x17700282592d6917f6a73d0bf8accf4d578c131e,1875983310000000000000000,1875983.31,0x5dae2c3d5a9f35bfaf36a2e6edd07c477f57789e
0x65850d8bb3fce3b64f28a6754b1a15c02e2e2aefdfa6017fa6eeb062b902c099,15688266,1666109324,2022-10-18T16:08:44.000000Z,MOO,0x17700282592d6917f6a73d0bf8accf4d578c131e,2848531790000000000000000,2848531.79,0x5dae2c3d5a9f35bfaf36a2e6edd07c477f57789e
0xace3d1bbb552f511ec89e91e4d4d4af1f684f7312f9bf94d574f89cdf05c9a66,15688274,1666109364,2022-10-18T16:09:24.000000Z,MOO,0x17700282592d6917f6a73d0bf8accf4d578c131e,443297467853493328201649,443297.467853493328201649,0x5dae2c3d5a9f35bfaf36a2e6edd07c477f57789e
0xc61b00420694aeb021807d1f420471440ae565df25c9363b77e8d40c878859ba,15688310,1666109544,2022-10-18T16:12:24.000000Z,MOO,0x17700282592d6917f6a73d0bf8accf4d578c131e,500000000000000000000000,500000,0x5dae2c3d5a9f35bfaf36a2e6edd07c477f57789e
