block,front_tx,back_tx,intervening_swaps,reason,inventory_mismatch_bps
17074893,0xa066a2d3773caa7092a3fd38c170cf234da0dceca58627d3bc0fa391d7d63f6d,0x8484e72b784a25780f6f95bb95b44d59fc2863ace72b7d134a5b0ac112b767ef,1,outer_transaction_has_other_v2_v3_swaps,1.454333296749426982651906185033566138120622753236129954172881537686680E-25
17074899,0x132d9a334e43ed929723563702f0eebaee8ecda25ff40b16fb9980b6912463b6,0xe29f53a4d9e16502aea63cdbf818d89d8f4ab1cf51308e905f754dc0b496465d,1,different_outer_origin_or_target,5413.364269098981143537454600622992652420478944015509241580258812110543
17074900,0x5df1c4902fcd7978688383e7d80f42f1d5eebbef7802e8dc99695d2a807bd740,0x27a688a1e0be0442bcbfeaf9daa2632749a80a1cec18fb0a90d80d3da1824413,2,accepted,0
17074902,0x2f7ac9f296ad68ebca78fa057d13bb51320591dbce0dd6a95208eb96469bc96b,0x4c86a3600edbb0ef59e7e21ca238351c8ff77ba86a9828b23b50f89e3a165684,3,outer_transaction_has_other_v2_v3_swaps,0
17074904,0x00adc89dabd83639264d40178fbb2ab8481fe8cba68ede0a8d05588a3d76a479,0x9b61743000f21bf5c6cbad0bc3d50b42680539b068ad2aa4fdcf7b4ce390ac87,2,different_outer_origin_or_target,6070.413031035421552992532412464165781460678715412307279257720101191610
17074912,0xc004a3f7b409e3045daf056558b63f046b5e8154112f5998eeafae5126646821,0x421ed1b870c967feaeeec6600effd2c80c2620fb8dd198a172cc2f02331c5bd1,1,outer_transaction_has_other_v2_v3_swaps,0
17074918,0x76179e39b531b3760f9b55d107953d7006bac34fd70451220e591cc8b651a57c,0x2601a6b3842e766333129329f2155250b9051dcf0c4e90f5160dc922758ba4ea,1,outer_transaction_has_other_v2_v3_swaps,1.360508771737963055120100661843877110084280506330045651935881509542787E-25
17074920,0x7b335023f502083402c93e7a9d4d4966c7b2ed794c314776c51f8103bd923550,0x93f4019a0eb03c4ae185792cf7c37203b9abe4c38a02dcfb217cbf252790d238,1,inventory_mismatch,19250.13813285200717044465462937555997751918969400821166537848781139553
17074930,0x29a098f1a907d671b19db3c4f64bcfe5e608f8370833403343d9c865f34348b5,0x99d37347874eceabdb2d675bda646ea9c375e6331ed705ce012b6963e6ed0a2e,3,different_outer_origin_or_target,1808.330760148368899548004778766263579439400890751634586842127876557206
17074930,0xa8f0b3468c905f7d45b83fd54a538fe79533a86b3667920c37bb74814d0f5124,0x99d37347874eceabdb2d675bda646ea9c375e6331ed705ce012b6963e6ed0a2e,2,different_outer_origin_or_target,6401.269108679677680844660482989543380000235897437002411897038225753237
17074930,0xc809104dbbec81d7c50a3b07c8e58ae427f5fe7bc8d9e0b98a3ba49d52102a31,0x99d37347874eceabdb2d675bda646ea9c375e6331ed705ce012b6963e6ed0a2e,1,different_outer_origin_or_target,31024.10244209432256554934870674467358787305843726224442290599175699666
17074932,0x8d0a980a5b0d32f1b5aac2747e658835cd48d1db331f25e265563c8cfc7f353d,0x24483efc7ecec0f21c7771625e31a6a77a6dd7ff4985e5dfc6b1e66f42911505,1,outer_transaction_has_other_v2_v3_swaps,0
17074938,0xc30408e0a393be2309e31560874eb8c46c1aaebcbdc02c854323ea5f9ddac221,0xf4b1cebaa1d9cf7b1e0d5b58548a8ba22d5379ad85c433003bba2fdca74227c9,2,accepted,0
17074939,0x9932b99cee3ae94bbdc3f751f0df3ada51b3884c1afb15087c9e62eb4f14b248,0xd63997e6c89e7c41d7b300c05dd07a07595f59dd17d4cc518e22d9b9795cef00,1,accepted,0
17074940,0x76acf5b41b186637bd8614894664c8308bb309923f25c2939948188cc92bcaeb,0xa68e8f1326c76002ca51693f4d7ed5235e244b52ea5fa9d4b5c893b181f3c378,2,accepted,0
17074941,0x876e957b0791a673b1cda86bacd981c6a3c569757c11d35f9ada48186bbb988c,0x15eabaeb1288accfab5767723a71c533a147e0e6d45b853af10e93268c0a6f2a,1,outer_transaction_has_other_v2_v3_swaps,0
17074949,0xb75c5b7ee0e8c13f680aaf5ad933e4c3b61042534348c7427d1528bb80e59088,0x3e3bda13c35916703d5118d5bf37f92b2f7b027677f4b6bdd4226da7331b9098,1,different_outer_origin_or_target,7025.935293741357814739783242592779483478935314992404519402784873099568
17074950,0x0392e9569ebfa2229684a67d62936f0e0a5c424f29bc86a493f56645eb082ea3,0x7996fe7703483c538494b2917b6ac4f34d0ef2ba6178b1b8a7ec187c02607ae5,3,buy_not_maximum_output,0
17074951,0xaed3e741cbe029fc7f9d9477c8ea0cfcd3f062859a25bdd666888477002c0644,0x08dc7a59af8623a1ba3cc3434f9ddc768257b756a451956de3595b97d6d73695,1,buy_not_maximum_output,0
17074952,0x0b130b89bb777954554591ba1468d2631b257e6830bbeb2fbd06d935033a6d22,0x69ef0156239b38bc6f105882197d001109a07a90e942dde5b7155c8fde56c4da,1,different_outer_origin_or_target,88.41169188187885651732767905898794662299923662222206799069530330919085
17074954,0x2e770c47ab47bd72af0f4ab04e73d1a9813a55ed38f033e2a2c0cb0b4d9bb2a1,0xc1fa18743bf3030e38e5f3bc3ef5993cd546a00986595af8905b824f1ce766ea,2,outer_transaction_has_other_v2_v3_swaps,0
17074957,0x81d1c461f22640bc0310609b64da3546698c2ae7a3b634c502c282e46f289987,0xbf32f3a046b1ac954463d37a398787d7b291e7654205534c742d0fda6481b815,2,outer_transaction_has_other_v2_v3_swaps,0
17074958,0x4d3a984f4fa23d202c38c753e74b97ee1339351a3e18224dc387e5c101dc0c38,0xd862ad59df8fd01952a3ef4fdf51da5e080c25d38e86380678c0b1004abeb588,1,outer_transaction_has_other_v2_v3_swaps,8.273603404638281929778606305875961763540205326010287304666128905753664E-26
17074959,0x4a7841f285e375b7e27e2a9b15870654d5e44e819c6224a5a2dfd5fcb5f579b3,0x347d57828e247fe31e602bf10e76e5dfae8a812dcc0874ae049d8a21b82ee2f4,1,accepted,0
17074960,0x1a3322cb0283f83009d70882966cf330757c8f83248d4f5e861a72c9045bb48d,0x4b5c1a2392de5530737b04a6990a341e2986aa9a0d42ada2c15f7f8cd01aea02,1,inventory_mismatch,3123.796984258347129174655024001601633386902852342443350179126032452704
17074962,0xcb267b0ebe786e38acf02d98c48d4695988a1d33955f049190d79b8d22eb0619,0x59f97c135ac8f7506e1852f1436ee20c3ee09f3d1e85b07f56eb13a1736d3b80,4,outer_transaction_has_other_v2_v3_swaps,0
17074966,0x167154857e34caacce7ecdb0fc13c5950d703f676ceb9c8ee61f40c4f3ac280a,0x0d9b6be54e3ae01d0577a0de4bb97c09c69aa34b5ff08220a9c51d5ddb573d85,1,buy_not_maximum_output,0
17074966,0x12b7638203b6e87ac0a190a11b378e060e3c42e01e6c304bb245310e7ba6756f,0x57edf9bc268f22e0fb34eda80a707ff1ec5301219b35ff2a612d4ae8b1b21408,1,different_outer_origin_or_target,12140.97890698165769301400586542703877430418915161065917361685067263340
