episode_id,block,timestamp_utc,tx_index,tx_hash,origin,input_weth,actual_pepe,counterfactual_pepe,shortfall_pepe,shortfall_bps,counterfactual_reserve0_raw,counterfactual_reserve1_raw,input_raw,actual_output_raw,counterfactual_output_raw
17070591-46,17070591,2023-04-18T02:21:11+00:00,47,0xec1567a2e876725c265c7d2a657c4b444cdfc1fe29ab75752968976f490de240,0xc56d38af319ca4a083e65ecf1dacfce29fcb5c62,1,29999028901.773399984053360656,31050419353.085968854133553284,1051390451.312568870080192628,338.6074884711905360338859986258943547626115205078557692811181638580415,7696943871154475217402882135800,246144687597798586294,1000000000000000000,29999028901773399984053360656,31050419353085968854133553284
17070591-46,17070591,2023-04-18T02:21:11+00:00,48,0x83859ef0edaf29d9cf6557a3a21135894359d6e1a36acc45827cd2f1916e8243,0xcb7a038619e1e4ebf42e651be44a13b0b78189e5,0.067338140509266373,2011507562.440824526615753009,2081851837.030802039442467878,70344274.589977512826714869,337.8927997599703061489366612835885219846616586151043776905547752166569,7665893451801389248548748582516,247144687597798586294,67338140509266373,2011507562440824526615753009,2081851837030802039442467878
17071008-72,17071008,2023-04-18T03:46:11+00:00,73,0x102181755eee17fe2a9ce5d36dba6d523410311d46701fd592452e8f0c04006a,0x9c32df9fbc97c7bcfd9ca627ac1adcde9dfefc57,1,25070992169.752483388579280141,25591751994.850661361324374097,520759825.098177972745093956,203.4873678062215159391164249104710221909116872088040569443285028417861,7051504722859517281777633027198,273714563714181100202,1000000000000000000,25070992169752483388579280141,25591751994850661361324374097
17071008-72,17071008,2023-04-18T03:46:11+00:00,74,0xc58bf579c0b0b315ddacf929c0d7fadee5c2cabb2d7d8d8083bdd887f4121ecb,0xfc901ab64061ce263f75f88efc6b5e4adcdeca89,0.134857545682819,3367199775.747002374081415714,3436995695.598927895981873845,69795919.851925521900458131,203.0724680315985827833775137529647626525576963750503361886994587007612,7025912970864666620416308653101,274714563714181100202,134857545682819000,3367199775747002374081415714,3436995695598927895981873845
17071008-72,17071008,2023-04-18T03:46:11+00:00,75,0x114b0b2304908bfa5d0a77ed05cc4dcf63a3da5120ca7240db33f355ffd41cb8,0x47d3881e904476b64d2dbe3221065f3f1f541f79,0.03893651,971580927.320015659586144615,991713625.004322240945519615,20132697.684306581359375,203.0091870949018765099367903610672890238619065298789748967950906434758,7022475975169067692520326779256,274849421259863919202,38936510000000000,971580927320015659586144615,991713625004322240945519615
17071008-72,17071008,2023-04-18T03:46:11+00:00,76,0xf7e1560a91f9e438c4db3e6d8c1e18cec354f66fc067ded4f4a10b893f835356,0x96dd069474d8383fef319ad1cefd8b0a8b8a2166,0.042652658690190516,1063997682.73208148563315434,1086042113.959381303731041603,22044431.227299818097887263,202.9795248632899190206836605340130190250257271893786265999126138227950,7021484261544063370279381259641,274888357769863919202,42652658690190516,1063997682732081485633154340,1086042113959381303731041603
17071069-13,17071069,2023-04-18T03:58:47+00:00,14,0x41fee78a7d82cd61fd26efbbb580c6e2af10552c0e0afba13bec04908419f115,0x39fc4cdaa0e79efe7687822f1c0bacc87e1deede,0.960434760995337307,23343958638.486819094994335893,23797146121.252428639089967945,453187482.765609544095632052,190.4377442809762331305605367374006116065429447142247861521525754218971,6947560466467846782362321659326,278599520592729893734,960434760995337307,23343958638486819094994335893,23797146121252428639089967945
17071069-13,17071069,2023-04-18T03:58:47+00:00,15,0x88faf60c538194ad423fb18c514763315e8ca31ff1f1c6961ac00a4a8c7a7206,0xa9d813547686ddb7dc199ed0f567b3f8bc04179a,0.512351896058480715,12388235700.717872786947905684,12628097722.563347131090183491,239862021.845474344142277807,189.9431150401212845868245698099171801522925852524190888818707177943460,6923763320346594353723231691381,279559955353725231041,512351896058480715,12388235700717872786947905684,12628097722563347131090183491
17071325-14,17071325,2023-04-18T04:51:11+00:00,15,0xab650ac2353d4e54a194797d8920893a24829b895c38de4c8d46d689971368fc,0x326a01f191bc2551b701b08d511a9eeb53b3c399,1,23430179886.524368480431513299,25773614659.651019404821298759,2343434773.12665092438978546,909.2379179530969069615231643641934775893551271564785887254625388121927,7060773313734560582313715070008,272134692498450450612,1000000000000000000,23430179886524368480431513299,25773614659651019404821298759
17071675-17,17071675,2023-04-18T06:02:59+00:00,18,0xcd18d1c36005532021e0a7ce3fc2e063d688b27b74c55bbaed6accbe3358e147,0x9fcd882ec652492c998f9a4c33124579511f08fc,1,26877370857.367188915690479509,29098866795.897377280621626796,2221495938.530188364931147287,763.4303954556041520617445633614422373036428149716388345251048221560908,7479857107441743029932445125976,255281623783756153187,1000000000000000000,26877370857367188915690479509,29098866795897377280621626796
17071859-23,17071859,2023-04-18T06:40:47+00:00,24,0xfccc5dabdb5903756fdafed7ae7083a7c0d454ba83520f15bfedbe207be520f2,0x6f2b192449f137e4e5b3a84802d01495115bcb98,0.947688,27159369411.013283570696845135,28871270616.607796215370234617,1711901205.594512644673389482,592.9428005879884360613374856608544455393122356449008233678649874735123,7695349890230466308630682035513,250894170779155983213,947688000000000000,27159369411013283570696845135,28871270616607796215370234617
17072491-12,17072491,2023-04-18T08:48:47+00:00,13,0x52416ed0d9334479b8cfb1eacef412f065b9754942c95ca40f44c925f028e40d,0xc07f2785adfdd4ffe9288a1ab77ed5e147ade0bf,1.508112147789321306,42916695354.550695288257845828,43520145065.589511538256983501,603449711.038816249999137673,138.6598574359880965654082052870099408721658488397866723570455927178424,7523807835097768315612588796150,258438233124975187932,1508112147789321306,42916695354550695288257845828,43520145065589511538256983501
17072491-12,17072491,2023-04-18T08:48:47+00:00,14,0xc09ffad0c9123aeec5d28141ee7070d146598bacb8ed6d841c52ca30a104bba7,0x09035aaf2c99fb5b7f4167139cb6306a588f95cc,0.07035157826609186,1989943653.70478972869776219,2017838573.337961171019937212,27894919.633171442322175022,138.2415818676066791246364721122351012968351705560265588978331347040595,7480287690032178804074331812649,259946345272764509238,70351578266091860,1989943653704789728697762190,2017838573337961171019937212
17073218-0,17073218,2023-04-18T11:16:59+00:00,1,0xa0e2abde8e97d6f975777823ab3f251828ad3ad0d61a551ab5f78f794e1d1d5b,0xc78b81818481c277b5cbf1ee90cf0ef7861a3418,1.5,33157881315.557297616282180018,38397336631.818816992221296489,5239455316.261519375939116471,1364.536130852296362985973738041269279172619455020740312359368876807751,7246597839863717374562922699375,280745093232594876120,1500000000000000000,33157881315557297616282180018,38397336631818816992221296489
17073218-0,17073218,2023-04-18T11:16:59+00:00,2,0x24f8ed2ff80a2bf0b5cf40e0410f9fd8145977264b99266c06cd84d68a15ce54,0x6063ed1450865961314841b8108f693fa0dc068c,0.1,2198885664.780774067211162467,2545319082.899439584908271246,346433418.118665517697108779,1361.060860487613773202841991281959171824539171716454279929625542183542,7208200503231898557570701402886,282245093232594876120,100000000000000000,2198885664780774067211162467,2545319082899439584908271246
17073741-0,17073741,2023-04-18T13:03:59+00:00,1,0x9853d79f296b0a70e46d203fbbb7605d5f257d09909a874dbf978f0a8aab7a9d,0x5c4a64abd18c714bde447bf32a8a34edd3b63e25,0.407807777961307277,8694706207.916679672618769835,9089208292.391726679203169672,394502084.475047006584399837,434.0334953103358329400177417464000146643721410917774358987968622115360,6825419817815827951817433973063,304912517421357298842,407807777961307277,8694706207916679672618769835,9089208292391726679203169672
17073741-0,17073741,2023-04-18T13:03:59+00:00,2,0x94e30437c28c7907ddf58bb2767fdb8fa788554a49a1e2c3a84300bb5a44fbbb,0x362b1d6f68d8136bd0595c8e780ade4ed0b60d52,2.4,50713876116.983131540570421401,53004290512.154581954544742814,2290414395.171450413974321413,432.1186781372402721291889689251867272445101110915444191236095134103022,6816330609523436225138230803391,305320325199318606119,2400000000000000000,50713876116983131540570421401,53004290512154581954544742814
17073872-106,17073872,2023-04-18T13:30:59+00:00,107,0x1753dcf6527deeb70fdf82238a201be984e9ac22d7ca76af964159944d5cdd25,0xe820f952dd0ba3f2e3fd46b407d9c71d8fdcf705,4.5,92995330848.634397389905870384,97969191443.525903209513004274,4973860594.89150581960713389,507.6964014507229439755191695254451420435231682379576137269697761918163,6874156846085029175057109858731,310315574361700190322,4500000000000000000,92995330848634397389905870384,97969191443525903209513004274
17073896-1,17073896,2023-04-18T13:35:59+00:00,2,0xb783674eab912a2b6aa4d6cb9b7b90961c5bf82cc66683951dc2b739b9b93845,0x7bc45c26febc67a49d952f34d45c9be84429391c,5.068549368997443235,91747756201.310881453109629029,111029946688.289859635636032993,19282190486.978978182526403964,1736.665743082144354868346532767340360033530115506441918315297850948809,6904491218866851053058255183292,309193113090962885415,5068549368997443235,91747756201310881453109629029,111029946688289859635636032993
17074399-0,17074399,2023-04-18T15:18:47+00:00,1,0xbf7dc9a380f54d72e81cf753febe181008a6f7310cd4ede3f29be60850e90087,0x5c5340e894c0675ba06067f2a288bdba4207f9aa,2,36661888705.218232613129044875,41876163941.132778004143455979,5214275235.914545391014411104,1245.165446205743311481619281533959060276922541891836458337143790885545,6440832017587009841551688729323,304696437575001179592,2000000000000000000,36661888705218232613129044875,41876163941132778004143455979
17074709-12,17074709,2023-04-18T16:22:11+00:00,13,0xc7a455500012ec4ae5927893d01b8c3efc8761dd4970320529b134e1e0d1e888,0x7451e186b1184786a44dd9e4917246d3d9669441,3,45914514896.567081368628528121,47218066129.884871264395689973,1303551233.317789895767161852,276.0704408630485900517312386590119801423402509401840199113522451193292,5639635909578441593215630884148,354248344770053320254,3000000000000000000,45914514896567081368628528121,47218066129884871264395689973
